"Plot Title: Hour4"
"#","Date Time, GMT-07:00","Intensity, Lux (LGR S/N: 1266540, SEN S/N: 1266540, LBL: light)","Max: Temperature, °C (LGR S/N: 1266540)","Min: Temperature, °C (LGR S/N: 1266540)","Avg: Temperature, °C (LGR S/N: 1266540)","Bad Battery (LGR S/N: 1266540)","Coupler Attached (LGR S/N: 1266540)","Host Connected (LGR S/N: 1266540)","Stopped (LGR S/N: 1266540)","End Of File (LGR S/N: 1266540)"
78,05/13/18 05:00:00 PM,301.4,15.378,15.378,15.378,,,,,
79,05/13/18 06:00:00 PM,161.5,15.187,15.187,15.187,,,,,
80,05/13/18 07:00:00 PM,64.6,14.804,14.804,14.804,,,,,
81,05/13/18 08:00:00 PM,10.8,14.517,14.517,14.517,,,,,
82,05/13/18 09:00:00 PM,0.0,14.134,14.134,14.134,,,,,
83,05/13/18 10:00:00 PM,0.0,13.750,13.750,13.750,,,,,
84,05/13/18 11:00:00 PM,0.0,13.461,13.461,13.461,,,,,
85,05/14/18 12:00:00 AM,0.0,13.173,13.173,13.173,,,,,
86,05/14/18 01:00:00 AM,0.0,12.883,12.883,12.883,,,,,
87,05/14/18 02:00:00 AM,0.0,12.594,12.594,12.594,,,,,
88,05/14/18 03:00:00 AM,0.0,12.401,12.401,12.401,,,,,
89,05/14/18 04:00:00 AM,0.0,12.207,12.207,12.207,,,,,
90,05/14/18 05:00:00 AM,0.0,12.013,12.013,12.013,,,,,
91,05/14/18 06:00:00 AM,0.0,11.819,11.819,11.819,,,,,
92,05/14/18 07:00:00 AM,21.5,11.722,11.722,11.722,,,,,
93,05/14/18 08:00:00 AM,75.3,11.819,11.819,11.819,,,,,
94,05/14/18 09:00:00 AM,86.1,11.916,11.916,11.916,,,,,
95,05/14/18 10:00:00 AM,129.2,12.110,12.110,12.110,,,,,
96,05/14/18 11:00:00 AM,452.1,12.594,12.594,12.594,,,,,
97,05/14/18 12:00:00 PM,344.4,12.690,12.690,12.690,,,,,
98,05/14/18 01:00:00 PM,613.5,13.173,13.173,13.173,,,,,
99,05/14/18 02:00:00 PM,193.8,13.269,13.269,13.269,,,,,
100,05/14/18 03:00:00 PM,710.4,14.230,14.230,14.230,,,,,
101,05/14/18 04:00:00 PM,3961.1,15.664,15.664,15.664,,,,,
102,05/14/18 05:00:00 PM,258.3,15.760,15.760,15.760,,,,,
103,05/14/18 06:00:00 PM,150.7,15.664,15.664,15.664,,,,,
104,05/14/18 07:00:00 PM,21.5,15.473,15.473,15.473,,,,,
105,05/14/18 08:00:00 PM,0.0,15.282,15.282,15.282,,,,,
106,05/14/18 09:00:00 PM,0.0,14.996,14.996,14.996,,,,,
