"Plot Title: 20400744"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20400744, SEN S/N: 20400744)","Intensity, Lux (LGR S/N: 20400744, SEN S/N: 20400744)","Coupler Attached (LGR S/N: 20400744)","Coupler Detached (LGR S/N: 20400744)","Host Connected (LGR S/N: 20400744)","Stopped (LGR S/N: 20400744)","End Of File (LGR S/N: 20400744)"
101,06/30/18 12:00:00 PM,7.882,75.3,,,,,
102,06/30/18 01:00:00 PM,7.882,64.6,,,,,
103,06/30/18 02:00:00 PM,7.983,161.5,,,,,
104,06/30/18 03:00:00 PM,8.182,344.4,,,,,
105,06/30/18 04:00:00 PM,8.282,150.7,,,,,
106,06/30/18 05:00:00 PM,8.382,107.6,,,,,
107,06/30/18 06:00:00 PM,8.282,43.1,,,,,
108,06/30/18 07:00:00 PM,8.182,10.8,,,,,
109,06/30/18 08:00:00 PM,8.082,10.8,,,,,
110,06/30/18 09:00:00 PM,7.882,0.0,,,,,
111,06/30/18 10:00:00 PM,7.782,0.0,,,,,
112,06/30/18 11:00:00 PM,7.782,0.0,,,,,
113,07/01/18 12:00:00 AM,7.682,0.0,,,,,
114,07/01/18 01:00:00 AM,7.481,0.0,,,,,
115,07/01/18 02:00:00 AM,7.481,0.0,,,,,
116,07/01/18 03:00:00 AM,7.481,0.0,,,,,
117,07/01/18 04:00:00 AM,7.381,0.0,,,,,
118,07/01/18 05:00:00 AM,7.280,0.0,,,,,
119,07/01/18 06:00:00 AM,7.280,21.5,,,,,
120,07/01/18 07:00:00 AM,7.381,43.1,,,,,
121,07/01/18 08:00:00 AM,7.481,107.6,,,,,
122,07/01/18 09:00:00 AM,7.582,139.9,,,,,
123,07/01/18 10:00:00 AM,7.782,236.8,,,,,
124,07/01/18 11:00:00 AM,7.782,204.5,,,,,
125,07/01/18 12:00:00 PM,8.282,387.5,,,,,
126,07/01/18 01:00:00 PM,8.082,333.7,,,,,
127,07/01/18 02:00:00 PM,8.581,688.9,,,,,
128,07/01/18 03:00:00 PM,8.680,484.4,,,,,
129,07/01/18 04:00:00 PM,8.879,107.6,,,,,
130,07/01/18 05:00:00 PM,8.581,43.1,,,,,
131,07/01/18 06:00:00 PM,8.382,96.9,,,,,
132,07/01/18 07:00:00 PM,8.182,32.3,,,,,
133,07/01/18 08:00:00 PM,7.983,21.5,,,,,
134,07/01/18 09:00:00 PM,7.782,0.0,,,,,
135,07/01/18 10:00:00 PM,7.682,0.0,,,,,
136,07/01/18 11:00:00 PM,7.582,0.0,,,,,
137,07/02/18 12:00:00 AM,7.481,0.0,,,,,
138,07/02/18 01:00:00 AM,7.381,0.0,,,,,
139,07/02/18 02:00:00 AM,7.280,0.0,,,,,
140,07/02/18 03:00:00 AM,7.179,0.0,,,,,
141,07/02/18 04:00:00 AM,7.079,0.0,,,,,
142,07/02/18 05:00:00 AM,6.877,0.0,,,,,
143,07/02/18 06:00:00 AM,6.775,0.0,,,,,
144,07/02/18 07:00:00 AM,6.775,32.3,,,,,
145,07/02/18 08:00:00 AM,6.775,43.1,,,,,
146,07/02/18 09:00:00 AM,6.674,10.8,,,,,
147,07/02/18 10:00:00 AM,6.674,64.6,,,,,
148,07/02/18 11:00:00 AM,6.573,32.3,,,,,
149,07/02/18 12:00:00 PM,6.674,86.1,,,,,
150,07/02/18 01:00:00 PM,6.674,86.1,,,,,
151,07/02/18 02:00:00 PM,6.877,172.2,,,,,
152,07/02/18 03:00:00 PM,7.079,495.1,,,,,
153,07/02/18 04:00:00 PM,7.179,118.4,,,,,
154,07/02/18 05:00:00 PM,7.179,247.6,,,,,
155,07/02/18 06:00:00 PM,7.079,43.1,,,,,
156,07/02/18 07:00:00 PM,7.079,75.3,,,,,
157,07/02/18 08:00:00 PM,6.978,0.0,,,,,
158,07/02/18 09:00:00 PM,6.877,0.0,,,,,
159,07/02/18 10:00:00 PM,6.877,0.0,,,,,
160,07/02/18 11:00:00 PM,6.775,0.0,,,,,
161,07/03/18 12:00:00 AM,6.775,0.0,,,,,
162,07/03/18 01:00:00 AM,6.775,0.0,,,,,
163,07/03/18 02:00:00 AM,6.775,0.0,,,,,
164,07/03/18 03:00:00 AM,6.775,0.0,,,,,
165,07/03/18 04:00:00 AM,6.775,0.0,,,,,
166,07/03/18 05:00:00 AM,6.775,0.0,,,,,
167,07/03/18 06:00:00 AM,6.775,0.0,,,,,
168,07/03/18 07:00:00 AM,6.775,21.5,,,,,
169,07/03/18 08:00:00 AM,6.877,43.1,,,,,
170,07/03/18 09:00:00 AM,6.877,43.1,,,,,
171,07/03/18 10:00:00 AM,6.978,86.1,,,,,
172,07/03/18 11:00:00 AM,6.978,21.5,,,,,
173,07/03/18 12:00:00 PM,7.179,161.5,,,,,
174,07/03/18 01:00:00 PM,7.582,613.5,,,,,
175,07/03/18 02:00:00 PM,7.682,193.8,,,,,
176,07/03/18 03:00:00 PM,7.882,505.9,,,,,
177,07/03/18 04:00:00 PM,7.882,183.0,,,,,
178,07/03/18 05:00:00 PM,7.882,118.4,,,,,
179,07/03/18 06:00:00 PM,7.983,75.3,,,,,
180,07/03/18 07:00:00 PM,7.882,32.3,,,,,
181,07/03/18 08:00:00 PM,7.782,0.0,,,,,
182,07/03/18 09:00:00 PM,7.682,0.0,,,,,
183,07/03/18 10:00:00 PM,7.481,0.0,,,,,
184,07/03/18 11:00:00 PM,7.280,0.0,,,,,
185,07/04/18 12:00:00 AM,7.079,0.0,,,,,
186,07/04/18 01:00:00 AM,6.978,0.0,,,,,
187,07/04/18 02:00:00 AM,6.775,0.0,,,,,
188,07/04/18 03:00:00 AM,6.573,0.0,,,,,
189,07/04/18 04:00:00 AM,6.573,0.0,,,,,
190,07/04/18 05:00:00 AM,6.573,0.0,,,,,
191,07/04/18 06:00:00 AM,6.471,0.0,,,,,
