"Plot Title: 20400756"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20400756, SEN S/N: 20400756)","Intensity, Lux (LGR S/N: 20400756, SEN S/N: 20400756)","Coupler Attached (LGR S/N: 20400756)","Coupler Detached (LGR S/N: 20400756)","Host Connected (LGR S/N: 20400756)","Stopped (LGR S/N: 20400756)","End Of File (LGR S/N: 20400756)"
1,06/26/18 02:00:00 PM,23.388,0.0,,,,,
2,06/26/18 02:42:40 PM,,,Logged,,,,
3,06/26/18 02:43:34 PM,,,,Logged,,,
4,06/26/18 03:00:00 PM,20.710,10.8,,,,,
5,06/26/18 03:33:26 PM,,,Logged,,,,
6,06/26/18 03:47:47 PM,,,,Logged,,,
7,06/26/18 04:00:00 PM,20.901,43.1,,,,,
8,06/26/18 05:00:00 PM,16.523,0.0,,,,,
9,06/26/18 06:00:00 PM,17.760,10.8,,,,,
10,06/26/18 07:00:00 PM,20.710,0.0,,,,,
11,06/26/18 08:00:00 PM,22.429,0.0,,,,,
12,06/26/18 09:00:00 PM,22.908,0.0,,,,,
13,06/26/18 10:00:00 PM,21.760,0.0,,,,,
14,06/26/18 11:00:00 PM,20.138,0.0,,,,,
15,06/27/18 12:00:00 AM,18.426,0.0,,,,,
16,06/27/18 01:00:00 AM,16.999,0.0,,,,,
17,06/27/18 02:00:00 AM,15.760,0.0,,,,,
18,06/27/18 03:00:00 AM,14.709,0.0,,,,,
19,06/27/18 04:00:00 AM,13.654,0.0,,,,,
20,06/27/18 05:00:00 AM,12.690,0.0,,,,,
21,06/27/18 06:00:00 AM,12.013,0.0,,,,,
22,06/27/18 07:00:00 AM,11.625,0.0,,,,,
23,06/27/18 08:00:00 AM,11.916,0.0,,,,,
24,06/27/18 09:00:00 AM,13.269,64.6,,,,,
25,06/27/18 10:00:00 AM,12.304,656.6,,,,,
26,06/27/18 11:00:00 AM,12.883,172.2,,,,,
27,06/27/18 12:00:00 PM,21.664,2238.9,,,,,
28,06/27/18 01:00:00 PM,23.004,1636.1,,,,,
29,06/27/18 02:00:00 PM,20.138,118.4,,,,,
30,06/27/18 03:00:00 PM,19.662,0.0,,,,,
31,06/27/18 04:00:00 PM,19.948,32.3,,,,,
32,06/27/18 05:00:00 PM,19.853,32.3,,,,,
33,06/27/18 06:00:00 PM,20.519,0.0,,,,,
34,06/27/18 07:00:00 PM,21.664,0.0,,,,,
35,06/27/18 08:00:00 PM,22.717,0.0,,,,,
36,06/27/18 09:00:00 PM,22.429,0.0,,,,,
