"Plot Title: Hour6"
"#","Date Time, GMT-07:00","Intensity, Lux (LGR S/N: 1266554, SEN S/N: 1266554, LBL: light)","Max: Temperature, °C (LGR S/N: 1266554)","Min: Temperature, °C (LGR S/N: 1266554)","Avg: Temperature, °C (LGR S/N: 1266554)","Coupler Attached (LGR S/N: 1266554)","Host Connected (LGR S/N: 1266554)","Stopped (LGR S/N: 1266554)","End Of File (LGR S/N: 1266554)"
1,05/22/18 12:00:00 PM,183.0,17.855,17.855,17.855,,,,
2,05/22/18 01:00:00 PM,4133.4,19.472,19.472,19.472,,,,
3,05/22/18 02:00:00 PM,3616.7,20.519,20.519,20.519,,,,
4,05/22/18 03:00:00 PM,3961.1,21.760,21.760,21.760,,,,
5,05/22/18 04:00:00 PM,3100.0,22.142,22.142,22.142,,,,
6,05/22/18 05:00:00 PM,7233.4,23.100,23.100,23.100,,,,
7,05/22/18 06:00:00 PM,20666.8,25.028,25.028,25.028,,,,
8,05/22/18 07:00:00 PM,15844.5,27.173,27.173,27.173,,,,
9,05/22/18 08:00:00 PM,1808.3,20.805,20.805,20.805,,,,
10,05/22/18 09:00:00 PM,43.1,17.189,17.189,17.189,,,,
11,05/22/18 10:00:00 PM,0.0,15.569,15.569,15.569,,,,
12,05/22/18 11:00:00 PM,0.0,14.325,14.325,14.325,,,,
13,05/23/18 12:00:00 AM,0.0,13.654,13.654,13.654,,,,
14,05/23/18 01:00:00 AM,0.0,13.461,13.461,13.461,,,,
15,05/23/18 02:00:00 AM,0.0,12.883,12.883,12.883,,,,
16,05/23/18 03:00:00 AM,0.0,12.497,12.497,12.497,,,,
17,05/23/18 04:00:00 AM,0.0,12.110,12.110,12.110,,,,
18,05/23/18 05:00:00 AM,0.0,11.819,11.819,11.819,,,,
19,05/23/18 06:00:00 AM,150.7,11.819,11.819,11.819,,,,
20,05/23/18 07:00:00 AM,1097.9,12.497,12.497,12.497,,,,
21,05/23/18 08:00:00 AM,1808.3,14.230,14.230,14.230,,,,
22,05/23/18 09:00:00 AM,2669.5,16.427,16.427,16.427,,,,
23,05/23/18 10:00:00 AM,3444.5,17.379,17.379,17.379,,,,
24,05/23/18 11:00:00 AM,6200.0,19.472,19.472,19.472,,,,
25,05/23/18 12:00:00 PM,3961.1,20.329,20.329,20.329,,,,
26,05/23/18 01:00:00 PM,3961.1,21.473,21.473,21.473,,,,
27,05/23/18 02:00:00 PM,3788.9,22.333,22.333,22.333,,,,
28,05/23/18 03:00:00 PM,4133.4,22.429,22.429,22.429,,,,
29,05/23/18 04:00:00 PM,2927.8,22.717,22.717,22.717,,,,
